Protocol,Model,Total Extracted,Total GT,Matched,Precision,Recall,F1-Score
MQTT,qwen3.5_9b_qwen_no_think_tagged_json_output,0,12,0,0.0,0.0,0.0
NNTP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,10,10,3,0.3,0.3,0.3
NNTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,10,10,3,0.3,0.3,0.3
NNTP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,3,10,0,0.0,0.0,0.0
NNTP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,10,10,4,0.4,0.4,0.4
NNTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,10,10,4,0.4,0.4,0.4
NNTP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,10,10,4,0.4,0.4,0.4
NNTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,22,10,9,0.409,0.9,0.563
NNTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,22,10,9,0.409,0.9,0.563
NNTP,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,19,10,6,0.316,0.6,0.414
NNTP,qwen3.5_27b_qwen_no_think_ollama_json_output,9,10,4,0.444,0.4,0.421
NNTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,9,10,4,0.444,0.4,0.421
NNTP,qwen3.5_27b_qwen_no_think_tagged_json_output,0,10,0,0.0,0.0,0.0
NNTP,qwen3.5_9b_qwen_no_think_ollama_json_output,0,10,0,0.0,0.0,0.0
NNTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,5,10,3,0.6,0.3,0.4
NNTP,qwen3.5_9b_qwen_no_think_tagged_json_output,5,10,2,0.4,0.2,0.267
POP3,gemma3_12b_gemma_mistral_no_think_ollama_json_output,10,3,3,0.3,1.0,0.462
POP3,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,11,3,3,0.273,1.0,0.429
POP3,gemma3_12b_gemma_mistral_no_think_tagged_json_output,33,3,3,0.091,1.0,0.167
POP3,gemma3_27b_gemma_mistral_no_think_ollama_json_output,9,3,3,0.333,1.0,0.5
POP3,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,9,3,3,0.333,1.0,0.5
POP3,gemma3_27b_gemma_mistral_no_think_tagged_json_output,0,3,0,0.0,0.0,0.0
POP3,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,7,3,3,0.429,1.0,0.6
POP3,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,9,3,3,0.333,1.0,0.5
POP3,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,7,3,3,0.429,1.0,0.6
POP3,qwen3.5_27b_qwen_no_think_ollama_json_output,0,3,0,0.0,0.0,0.0
POP3,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,5,3,3,0.6,1.0,0.75
POP3,qwen3.5_27b_qwen_no_think_tagged_json_output,0,3,0,0.0,0.0,0.0
POP3,qwen3.5_9b_qwen_no_think_ollama_json_output,0,3,0,0.0,0.0,0.0
POP3,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,3,3,3,1.0,1.0,1.0
POP3,qwen3.5_9b_qwen_no_think_tagged_json_output,0,3,0,0.0,0.0,0.0
PPP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,19,10,8,0.421,0.8,0.552
PPP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,19,10,8,0.421,0.8,0.552
PPP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,10,10,0,0.0,0.0,0.0
PPP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,16,10,10,0.625,1.0,0.769
PPP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,16,10,10,0.625,1.0,0.769
PPP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,15,10,10,0.667,1.0,0.8
PPP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,15,10,10,0.667,1.0,0.8
PPP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,15,10,10,0.667,1.0,0.8
PPP,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,15,10,10,0.667,1.0,0.8
PPP,qwen3.5_27b_qwen_no_think_ollama_json_output,16,10,10,0.625,1.0,0.769
PPP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,16,10,10,0.625,1.0,0.769
PPP,qwen3.5_27b_qwen_no_think_tagged_json_output,15,10,10,0.667,1.0,0.8
PPP,qwen3.5_9b_qwen_no_think_ollama_json_output,16,10,8,0.5,0.8,0.615
PPP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,16,10,8,0.5,0.8,0.615
PPP,qwen3.5_9b_qwen_no_think_tagged_json_output,16,10,8,0.5,0.8,0.615
PPTP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,25,9,8,0.32,0.889,0.471
PPTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,25,9,8,0.32,0.889,0.471
PPTP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,2,9,0,0.0,0.0,0.0
PPTP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,17,9,6,0.353,0.667,0.462
PPTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,17,9,6,0.353,0.667,0.462
PPTP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,13,9,7,0.538,0.778,0.636
PPTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,18,9,7,0.389,0.778,0.519
PPTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,18,9,7,0.389,0.778,0.519
PPTP,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,18,9,7,0.389,0.778,0.519
PPTP,qwen3.5_27b_qwen_no_think_ollama_json_output,11,9,7,0.636,0.778,0.7
PPTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,15,9,8,0.533,0.889,0.667
PPTP,qwen3.5_27b_qwen_no_think_tagged_json_output,11,9,7,0.636,0.778,0.7
PPTP,qwen3.5_9b_qwen_no_think_ollama_json_output,8,9,7,0.875,0.778,0.824
PPTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,8,9,7,0.875,0.778,0.824
PPTP,qwen3.5_9b_qwen_no_think_tagged_json_output,10,9,8,0.8,0.889,0.842
RTSP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,0,3,0,0.0,0.0,0.0
RTSP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,34,3,3,0.088,1.0,0.162
RTSP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,0,3,0,0.0,0.0,0.0
RTSP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,0,3,0,0.0,0.0,0.0
RTSP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,25,3,3,0.12,1.0,0.214
RTSP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,0,3,0,0.0,0.0,0.0
RTSP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,45,3,3,0.067,1.0,0.125
RTSP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,45,3,3,0.067,1.0,0.125
RTSP,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,42,3,3,0.071,1.0,0.133
RTSP,qwen3.5_27b_qwen_no_think_ollama_json_output,13,3,3,0.231,1.0,0.375
RTSP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,13,3,3,0.231,1.0,0.375
RTSP,qwen3.5_27b_qwen_no_think_tagged_json_output,0,3,0,0.0,0.0,0.0
RTSP,qwen3.5_9b_qwen_no_think_ollama_json_output,0,3,0,0.0,0.0,0.0
RTSP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,7,3,3,0.429,1.0,0.6
RTSP,qwen3.5_9b_qwen_no_think_tagged_json_output,0,3,0,0.0,0.0,0.0
SIP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,103,5,5,0.049,1.0,0.093
SIP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,103,5,5,0.049,1.0,0.093
SIP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,5,5,0,0.0,0.0,0.0
SIP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,48,5,5,0.104,1.0,0.189
SIP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,48,5,5,0.104,1.0,0.189
SIP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,0,5,0,0.0,0.0,0.0
SIP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,80,5,5,0.062,1.0,0.118
SIP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,80,5,5,0.062,1.0,0.118
SIP,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,177,5,5,0.028,1.0,0.055
SIP,qwen3.5_27b_qwen_no_think_ollama_json_output,23,5,5,0.217,1.0,0.357
SIP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,25,5,5,0.2,1.0,0.333
SIP,qwen3.5_27b_qwen_no_think_tagged_json_output,28,5,5,0.179,1.0,0.303
SIP,qwen3.5_9b_qwen_no_think_ollama_json_output,0,5,0,0.0,0.0,0.0
SIP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,8,5,5,0.625,1.0,0.769
SIP,qwen3.5_9b_qwen_no_think_tagged_json_output,0,5,0,0.0,0.0,0.0
SMTP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,22,7,4,0.182,0.571,0.276
SMTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,22,7,4,0.182,0.571,0.276
SMTP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,4,7,0,0.0,0.0,0.0
SMTP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,21,7,3,0.143,0.429,0.214
SMTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,21,7,3,0.143,0.429,0.214
SMTP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,22,7,4,0.182,0.571,0.276
SMTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,26,7,5,0.192,0.714,0.303
SMTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,26,7,5,0.192,0.714,0.303
SMTP,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,48,7,5,0.104,0.714,0.182
SMTP,qwen3.5_27b_qwen_no_think_ollama_json_output,0,7,0,0.0,0.0,0.0
SMTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,6,7,4,0.667,0.571,0.615
SMTP,qwen3.5_27b_qwen_no_think_tagged_json_output,0,7,0,0.0,0.0,0.0
SMTP,qwen3.5_9b_qwen_no_think_ollama_json_output,5,7,2,0.4,0.286,0.333
SMTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,5,7,2,0.4,0.286,0.333
SMTP,qwen3.5_9b_qwen_no_think_tagged_json_output,0,7,0,0.0,0.0,0.0
TCP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,11,11,10,0.909,0.909,0.909
TCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,11,11,10,0.909,0.909,0.909
TCP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,72,11,4,0.056,0.364,0.096
TCP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,29,11,10,0.345,0.909,0.5
TCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,29,11,10,0.345,0.909,0.5
TCP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,12,11,10,0.833,0.909,0.87
TCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,11,11,10,0.909,0.909,0.909
TCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,11,11,10,0.909,0.909,0.909
TCP,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,11,11,10,0.909,0.909,0.909
TCP,qwen3.5_27b_qwen_no_think_ollama_json_output,11,11,10,0.909,0.909,0.909
TCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,11,11,10,0.909,0.909,0.909
TCP,qwen3.5_27b_qwen_no_think_tagged_json_output,11,11,10,0.909,0.909,0.909
TCP,qwen3.5_9b_qwen_no_think_ollama_json_output,11,11,10,0.909,0.909,0.909
TCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,11,11,10,0.909,0.909,0.909
TCP,qwen3.5_9b_qwen_no_think_tagged_json_output,11,11,10,0.909,0.909,0.909
