Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
NNTP,qwq_32b_qwq_reasoning_ollama_json_schema_output,5,16,1,15,4,0.2,0.062,0.095
POP3,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,5,18,3,15,2,0.6,0.167,0.261
POP3,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,17,18,9,9,8,0.529,0.5,0.514
POP3,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,9,18,4,14,5,0.444,0.222,0.296
POP3,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,5,18,3,15,2,0.6,0.167,0.261
POP3,qwen3.5_27b_qwen_think_ollama_json_schema_output,7,18,4,14,3,0.571,0.222,0.32
POP3,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,9,18,5,13,4,0.556,0.278,0.37
POP3,qwen3.5_9b_qwen_think_ollama_json_schema_output,2,18,1,17,1,0.5,0.056,0.1
POP3,qwq_32b_qwq_reasoning_ollama_json_schema_output,16,18,11,7,5,0.688,0.611,0.647
PPP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,63,27,0,27,63,0.0,0.0,0.0
PPP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,59,27,8,19,51,0.136,0.296,0.186
PPP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,118,27,15,12,103,0.127,0.556,0.207
PPP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,107,27,17,10,90,0.159,0.63,0.254
PPP,qwen3.5_27b_qwen_think_ollama_json_schema_output,123,27,17,10,106,0.138,0.63,0.227
PPP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,154,27,19,8,135,0.123,0.704,0.21
PPP,qwen3.5_9b_qwen_think_ollama_json_schema_output,122,27,17,10,105,0.139,0.63,0.228
PPP,qwq_32b_qwq_reasoning_ollama_json_schema_output,114,27,9,18,105,0.079,0.333,0.128
PPTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,24,19,12,7,12,0.5,0.632,0.558
PPTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,30,19,13,6,17,0.433,0.684,0.531
PPTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,41,19,14,5,27,0.341,0.737,0.467
PPTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,34,19,14,5,20,0.412,0.737,0.528
PPTP,qwen3.5_27b_qwen_think_ollama_json_schema_output,29,19,13,6,16,0.448,0.684,0.542
PPTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,24,19,11,8,13,0.458,0.579,0.512
PPTP,qwen3.5_9b_qwen_think_ollama_json_schema_output,28,19,14,5,14,0.5,0.737,0.596
PPTP,qwq_32b_qwq_reasoning_ollama_json_schema_output,23,19,13,6,10,0.565,0.684,0.619
RTSP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,40,33,16,17,24,0.4,0.485,0.438
RTSP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,102,33,25,8,77,0.245,0.758,0.37
RTSP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,101,33,24,9,77,0.238,0.727,0.358
RTSP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,64,33,24,9,40,0.375,0.727,0.495
RTSP,qwen3.5_27b_qwen_think_ollama_json_schema_output,63,33,31,2,32,0.492,0.939,0.646
RTSP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,35,33,17,16,18,0.486,0.515,0.5
RTSP,qwen3.5_9b_qwen_think_ollama_json_schema_output,8,33,1,32,7,0.125,0.03,0.049
RTSP,qwq_32b_qwq_reasoning_ollama_json_schema_output,45,33,26,7,19,0.578,0.788,0.667
SIP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,19,20,9,11,10,0.474,0.45,0.462
SIP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,124,20,15,5,109,0.121,0.75,0.208
SIP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,121,20,15,5,106,0.124,0.75,0.213
SIP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,54,20,16,4,38,0.296,0.8,0.432
SIP,qwen3.5_27b_qwen_think_ollama_json_schema_output,53,20,19,1,34,0.358,0.95,0.521
SIP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,24,20,13,7,11,0.542,0.65,0.591
SIP,qwen3.5_9b_qwen_think_ollama_json_schema_output,40,20,19,1,21,0.475,0.95,0.633
SIP,qwq_32b_qwq_reasoning_ollama_json_schema_output,18,20,9,11,9,0.5,0.45,0.474
SMTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,4,22,1,21,3,0.25,0.045,0.077
