Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
NNTP,qwq_32b_qwq_reasoning_ollama_json_schema_output,24,16,1,15,23,0.042,0.062,0.05
POP3,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,42,18,5,13,37,0.119,0.278,0.167
POP3,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,40,18,7,11,33,0.175,0.389,0.241
POP3,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,27,18,2,16,25,0.074,0.111,0.089
POP3,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,15,18,5,13,10,0.333,0.278,0.303
POP3,qwen3.5_27b_qwen_think_ollama_json_schema_output,8,18,1,17,7,0.125,0.056,0.077
POP3,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,17,18,1,17,16,0.059,0.056,0.057
POP3,qwen3.5_9b_qwen_think_ollama_json_schema_output,4,18,0,18,4,0.0,0.0,0.0
POP3,qwq_32b_qwq_reasoning_ollama_json_schema_output,23,18,2,16,21,0.087,0.111,0.098
PPP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,107,27,0,27,107,0.0,0.0,0.0
PPP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,129,27,6,21,123,0.047,0.222,0.077
PPP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,147,27,5,22,142,0.034,0.185,0.057
PPP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,149,27,7,20,142,0.047,0.259,0.08
PPP,qwen3.5_27b_qwen_think_ollama_json_schema_output,134,27,5,22,129,0.037,0.185,0.062
PPP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,104,27,4,23,100,0.038,0.148,0.061
PPP,qwen3.5_9b_qwen_think_ollama_json_schema_output,16,27,1,26,15,0.062,0.037,0.047
PPP,qwq_32b_qwq_reasoning_ollama_json_schema_output,144,27,5,22,139,0.035,0.185,0.058
PPTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,16,19,7,12,9,0.438,0.368,0.4
PPTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,39,19,10,9,29,0.256,0.526,0.345
PPTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,53,19,13,6,40,0.245,0.684,0.361
