Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
POP3,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,4,18,0,18,4,0.0,0.0,0.0
POP3,qwen3.5_9b_qwen_think_ollama_json_schema_output,2,18,0,18,2,0.0,0.0,0.0
PPP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,5,27,0,27,5,0.0,0.0,0.0
PPP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,27,27,0,27,27,0.0,0.0,0.0
PPP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,104,27,1,26,103,0.01,0.037,0.015
PPP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,136,27,3,24,133,0.022,0.111,0.037
PPP,qwen3.5_27b_qwen_think_ollama_json_schema_output,120,27,3,24,117,0.025,0.111,0.041
PPP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,56,27,0,27,56,0.0,0.0,0.0
PPP,qwen3.5_9b_qwen_think_ollama_json_schema_output,83,27,2,25,81,0.024,0.074,0.036
PPTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,17,19,12,7,5,0.706,0.632,0.667
PPTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,11,19,9,10,2,0.818,0.474,0.6
PPTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,28,19,13,6,15,0.464,0.684,0.553
PPTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,33,19,14,5,19,0.424,0.737,0.538
PPTP,qwen3.5_27b_qwen_think_ollama_json_schema_output,33,19,15,4,18,0.455,0.789,0.577
PPTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,21,19,12,7,9,0.571,0.632,0.6
PPTP,qwen3.5_9b_qwen_think_ollama_json_schema_output,25,19,13,6,12,0.52,0.684,0.591
RTSP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,26,33,23,10,3,0.885,0.697,0.78
RTSP,qwen3.5_27b_qwen_think_ollama_json_schema_output,33,33,33,0,0,1.0,1.0,1.0
RTSP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,22,33,17,16,5,0.773,0.515,0.618
RTSP,qwen3.5_9b_qwen_think_ollama_json_schema_output,32,33,26,7,6,0.812,0.788,0.8
SIP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,33,20,18,2,15,0.545,0.9,0.679
SIP,qwen3.5_27b_qwen_think_ollama_json_schema_output,41,20,0,20,41,0.0,0.0,0.0
