Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
POP3,qwen3.5_9b_qwen_think_ollama_json_schema_output,2,18,1,17,1,0.5,0.056,0.1
PPP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,5,27,0,27,5,0.0,0.0,0.0
PPP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,27,27,1,26,26,0.037,0.037,0.037
PPP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,104,27,12,15,92,0.115,0.444,0.183
PPP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,136,27,17,10,119,0.125,0.63,0.209
PPP,qwen3.5_27b_qwen_think_ollama_json_schema_output,120,27,17,10,103,0.142,0.63,0.231
PPP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,56,27,10,17,46,0.179,0.37,0.241
PPP,qwen3.5_9b_qwen_think_ollama_json_schema_output,83,27,10,17,73,0.12,0.37,0.182
PPTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,17,19,13,6,4,0.765,0.684,0.722
PPTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,11,19,9,10,2,0.818,0.474,0.6
PPTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,28,19,13,6,15,0.464,0.684,0.553
PPTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,33,19,13,6,20,0.394,0.684,0.5
PPTP,qwen3.5_27b_qwen_think_ollama_json_schema_output,33,19,14,5,19,0.424,0.737,0.538
PPTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,21,19,9,10,12,0.429,0.474,0.45
PPTP,qwen3.5_9b_qwen_think_ollama_json_schema_output,25,19,13,6,12,0.52,0.684,0.591
RTSP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,26,33,22,11,4,0.846,0.667,0.746
RTSP,qwen3.5_27b_qwen_think_ollama_json_schema_output,33,33,31,2,2,0.939,0.939,0.939
RTSP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,22,33,17,16,5,0.773,0.515,0.618
RTSP,qwen3.5_9b_qwen_think_ollama_json_schema_output,32,33,26,7,6,0.812,0.788,0.8
SIP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,33,20,19,1,14,0.576,0.95,0.717
SIP,qwen3.5_27b_qwen_think_ollama_json_schema_output,41,20,0,20,41,0.0,0.0,0.0
SIP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,11,20,9,11,2,0.818,0.45,0.581
SIP,qwen3.5_9b_qwen_think_ollama_json_schema_output,18,20,13,7,5,0.722,0.65,0.684
SMTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,12,22,0,22,12,0.0,0.0,0.0
SMTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,13,22,0,22,13,0.0,0.0,0.0
SMTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,12,22,2,20,10,0.167,0.091,0.118
SMTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,10,22,0,22,10,0.0,0.0,0.0
SMTP,qwen3.5_27b_qwen_think_ollama_json_schema_output,10,22,1,21,9,0.1,0.045,0.063
SMTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,10,22,1,21,9,0.1,0.045,0.063
SMTP,qwen3.5_9b_qwen_think_ollama_json_schema_output,3,22,0,22,3,0.0,0.0,0.0
TCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,11,20,8,12,3,0.727,0.4,0.516
TCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,23,20,8,12,15,0.348,0.4,0.372
TCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,0,20,0,20,0,0.0,0.0,0.0
TCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,20,20,14,6,6,0.7,0.7,0.7
TCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,43,20,15,5,28,0.349,0.75,0.476
TCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,23,20,11,9,12,0.478,0.55,0.512
TCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,25,20,12,8,13,0.48,0.6,0.533
