Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
NNTP,qwen3.5_9b_qwen_no_think_ollama_json_output,0,16,0,16,0,0.0,0.0,0.0
NNTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,9,16,0,16,9,0.0,0.0,0.0
NNTP,qwen3.5_9b_qwen_no_think_tagged_json_output,13,16,0,16,13,0.0,0.0,0.0
POP3,gemma3_12b_gemma_mistral_no_think_ollama_json_output,43,18,11,7,32,0.256,0.611,0.361
POP3,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,42,18,12,6,30,0.286,0.667,0.4
POP3,gemma3_12b_gemma_mistral_no_think_tagged_json_output,35,18,9,9,26,0.257,0.5,0.34
POP3,gemma3_27b_gemma_mistral_no_think_ollama_json_output,41,18,13,5,28,0.317,0.722,0.441
POP3,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,40,18,13,5,27,0.325,0.722,0.448
POP3,gemma3_27b_gemma_mistral_no_think_tagged_json_output,0,18,0,18,0,0.0,0.0,0.0
POP3,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,27,18,7,11,20,0.259,0.389,0.311
POP3,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,28,18,7,11,21,0.25,0.389,0.304
POP3,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,28,18,7,11,21,0.25,0.389,0.304
POP3,qwen3.5_27b_qwen_no_think_ollama_json_output,0,18,0,18,0,0.0,0.0,0.0
POP3,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,15,18,9,9,6,0.6,0.5,0.545
POP3,qwen3.5_27b_qwen_no_think_tagged_json_output,0,18,0,18,0,0.0,0.0,0.0
POP3,qwen3.5_9b_qwen_no_think_ollama_json_output,0,18,0,18,0,0.0,0.0,0.0
POP3,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,17,18,7,11,10,0.412,0.389,0.4
POP3,qwen3.5_9b_qwen_no_think_tagged_json_output,0,18,0,18,0,0.0,0.0,0.0
PPP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,49,27,0,27,49,0.0,0.0,0.0
PPP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,51,27,0,27,51,0.0,0.0,0.0
PPP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,47,27,2,25,45,0.043,0.074,0.054
PPP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,71,27,4,23,67,0.056,0.148,0.082
PPP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,71,27,4,23,67,0.056,0.148,0.082
PPP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,65,27,5,22,60,0.077,0.185,0.109
PPP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,116,27,16,11,100,0.138,0.593,0.224
PPP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,116,27,16,11,100,0.138,0.593,0.224
PPP,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,105,27,16,11,89,0.152,0.593,0.242
PPP,qwen3.5_27b_qwen_no_think_ollama_json_output,131,27,18,9,113,0.137,0.667,0.228
PPP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,131,27,18,9,113,0.137,0.667,0.228
PPP,qwen3.5_27b_qwen_no_think_tagged_json_output,134,27,18,9,116,0.134,0.667,0.224
PPP,qwen3.5_9b_qwen_no_think_ollama_json_output,115,27,0,27,115,0.0,0.0,0.0
PPP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,112,27,1,26,111,0.009,0.037,0.014
PPP,qwen3.5_9b_qwen_no_think_tagged_json_output,112,27,5,22,107,0.045,0.185,0.072
PPTP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,32,19,7,12,25,0.219,0.368,0.275
PPTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,21,19,7,12,14,0.333,0.368,0.35
PPTP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,34,19,6,13,28,0.176,0.316,0.226
PPTP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,54,19,10,9,44,0.185,0.526,0.274
PPTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,54,19,10,9,44,0.185,0.526,0.274
PPTP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,33,19,12,7,21,0.364,0.632,0.462
PPTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,52,19,11,8,41,0.212,0.579,0.31
PPTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,52,19,11,8,41,0.212,0.579,0.31
PPTP,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,55,19,12,7,43,0.218,0.632,0.324
PPTP,qwen3.5_27b_qwen_no_think_ollama_json_output,34,19,12,7,22,0.353,0.632,0.453
PPTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,41,19,13,6,28,0.317,0.684,0.433
PPTP,qwen3.5_27b_qwen_no_think_tagged_json_output,34,19,12,7,22,0.353,0.632,0.453
PPTP,qwen3.5_9b_qwen_no_think_ollama_json_output,31,19,15,4,16,0.484,0.789,0.6
PPTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,33,19,13,6,20,0.394,0.684,0.5
PPTP,qwen3.5_9b_qwen_no_think_tagged_json_output,36,19,13,6,23,0.361,0.684,0.473
RTSP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,0,33,0,33,0,0.0,0.0,0.0
RTSP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,60,33,14,19,46,0.233,0.424,0.301
RTSP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,0,33,0,33,0,0.0,0.0,0.0
RTSP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,0,33,0,33,0,0.0,0.0,0.0
RTSP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,77,33,23,10,54,0.299,0.697,0.418
RTSP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,0,33,0,33,0,0.0,0.0,0.0
RTSP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,107,33,26,7,81,0.243,0.788,0.371
RTSP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,107,33,26,7,81,0.243,0.788,0.371
RTSP,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,107,33,25,8,82,0.234,0.758,0.357
RTSP,qwen3.5_27b_qwen_no_think_ollama_json_output,54,33,24,9,30,0.444,0.727,0.552
RTSP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,53,33,24,9,29,0.453,0.727,0.558
