Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
RTSP,qwen3.5_27b_no_think,79,33,7,26,72,0.089,0.212,0.125
RTSP,qwen3.5_27b_think,19,33,1,32,18,0.053,0.03,0.038
RTSP,qwen3.5_9b_no_think,15,33,9,24,6,0.6,0.273,0.375
RTSP,qwen3.5_9b_think,20,33,9,24,11,0.45,0.273,0.34
RTSP,qwq_32b,19,33,0,33,19,0.0,0.0,0.0
SIP,gemma3_12b,95,20,7,13,88,0.074,0.35,0.122
SIP,gemma3_27b,40,20,0,20,40,0.0,0.0,0.0
SIP,mistral-small3.1_24b,0,20,0,20,0,0.0,0.0,0.0
SIP,qwen3.5_27b_no_think,170,20,17,3,153,0.1,0.85,0.179
SIP,qwen3.5_27b_think,50,20,1,19,49,0.02,0.05,0.029
SIP,qwen3.5_9b_no_think,21,20,7,13,14,0.333,0.35,0.341
SIP,qwen3.5_9b_think,29,20,14,6,15,0.483,0.7,0.571
SIP,qwq_32b,0,20,0,20,0,0.0,0.0,0.0
SMTP,gemma3_12b,35,22,0,22,35,0.0,0.0,0.0
SMTP,gemma3_27b,60,22,5,17,55,0.083,0.227,0.122
SMTP,mistral-small3.1_24b,94,22,0,22,94,0.0,0.0,0.0
SMTP,qwen3.5_27b_no_think,19,22,3,19,16,0.158,0.136,0.146
SMTP,qwen3.5_27b_think,12,22,2,20,10,0.167,0.091,0.118
SMTP,qwen3.5_9b_no_think,19,22,0,22,19,0.0,0.0,0.0
SMTP,qwen3.5_9b_think,8,22,0,22,8,0.0,0.0,0.0
SMTP,qwq_32b,17,22,3,19,14,0.176,0.136,0.154
TCP,gemma3_12b,12,20,4,16,8,0.333,0.2,0.25
TCP,gemma3_27b,16,20,5,15,11,0.312,0.25,0.278
TCP,mistral-small3.1_24b,32,20,5,15,27,0.156,0.25,0.192
TCP,qwen3.5_27b_no_think,18,20,8,12,10,0.444,0.4,0.421
TCP,qwen3.5_27b_think,17,20,8,12,9,0.471,0.4,0.432
TCP,qwen3.5_9b_no_think,12,20,6,14,6,0.5,0.3,0.375
TCP,qwen3.5_9b_think,12,20,7,13,5,0.583,0.35,0.438
TCP,qwq_32b,24,20,7,13,17,0.292,0.35,0.318
