Metric,Total Conditions,Original Mean Precision,Original Mean Recall,Original Mean F1,New Mean Precision,New Mean Recall,New Mean F1,Precision Difference,Recall Difference,F1 Difference
State,126,0.557,0.688,0.556,0.491,0.634,0.505,-0.066,-0.054,-0.051
Exact Transition,126,0.208,0.244,0.195,0.209,0.246,0.197,0.001,0.002,0.002
Partial Transition,126,0.231,0.276,0.217,0.233,0.277,0.219,0.001,0.001,0.001
