Split Method,Protocol,Model,Common Condition,State Precision,State Recall,State F1,Exact Transition Precision,Exact Transition Recall,Exact Transition F1,Partial Transition Precision,Partial Transition Recall,Partial Transition F1
Whole Document,IMAP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,1.0,0.8,0.889,0.429,0.545,0.48,0.429,0.545,0.48
Whole Document,IMAP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,MQTT,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.2,0.5,0.286,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,MQTT,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,0.5,0.667,0.0,0.0,0.0,0.091,0.059,0.071
Whole Document,MQTT,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.438,0.583,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,MQTT,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,1.0,0.25,0.4,0.071,0.059,0.065,0.071,0.059,0.065
Whole Document,MQTT,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,0.8,0.333,0.471,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,MQTT,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,0.5,0.083,0.143,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,MQTT,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,NNTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,0.2,0.333,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,NNTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.667,0.2,0.308,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,NNTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25
Whole Document,NNTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,0.5,0.1,0.167,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,NNTP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,0.556,0.5,0.526,0.0,0.0,0.0,0.143,0.125,0.133
Whole Document,NNTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,0.667,0.2,0.308,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,NNTP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,POP3,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.0,0.0,0.0,0.75,0.167,0.273
Whole Document,POP3,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.25,0.167,0.2,0.75,0.5,0.6
Whole Document,POP3,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.167,0.25
Whole Document,POP3,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.667,0.111,0.19,0.667,0.111,0.19
Whole Document,POP3,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,1.0,0.111,0.2,0.5,0.056,0.1
Whole Document,POP3,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.111,0.182
Whole Document,POP3,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.056,0.1
Whole Document,PPP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,PPP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.6,0.9,0.72,0.0,0.0,0.0,0.037,0.037,0.037
Whole Document,PPP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.667,1.0,0.8,0.01,0.037,0.015,0.115,0.444,0.183
Whole Document,PPP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,0.667,1.0,0.8,0.022,0.111,0.037,0.125,0.63,0.209
Whole Document,PPP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.025,0.111,0.041,0.142,0.63,0.231
Whole Document,PPP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,0.8,0.8,0.8,0.0,0.0,0.0,0.179,0.37,0.241
Whole Document,PPP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,0.9,0.9,0.9,0.024,0.074,0.036,0.12,0.37,0.182
Whole Document,PPTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.571,0.889,0.696,0.706,0.632,0.667,0.765,0.684,0.722
Whole Document,PPTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,0.667,0.8,0.818,0.474,0.6,0.818,0.474,0.6
Whole Document,PPTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.875,0.778,0.824,0.464,0.684,0.553,0.464,0.684,0.553
Whole Document,PPTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,0.889,0.889,0.889,0.424,0.737,0.538,0.394,0.684,0.5
Whole Document,PPTP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,0.667,0.889,0.762,0.455,0.789,0.577,0.424,0.737,0.538
Whole Document,PPTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,0.875,0.778,0.824,0.571,0.632,0.6,0.429,0.474,0.45
Whole Document,PPTP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,0.875,0.778,0.824,0.52,0.684,0.591,0.52,0.684,0.591
